País,Idioma Principal,,Población Estimada (2024/2023),Zona Horaria (UTC),Ejemplo de Hora Actual (08/04/2025 00:03 CLT)
China,Mandarín,ASIA,1.412.175.000,UTC+8,08/04/2025 08:03 CST
United States,Inglés (de facto),AMERICA,336.000.000,UTC-5 a -10,07/04/2025 19:03 EDT (Costa Este)
Russian Federation,Ruso,ASIA,148.000.000,UTC+2 a +12,08/04/2025 03:03 MSK (Moscú)
Japan,Japonés,ASIA,122.856.000,UTC+9,08/04/2025 09:03 JST
Germany,Alemán,EUROPA,84.220.000,UTC+2,08/04/2025 02:03 CEST
UK,Inglés,EUROPA,69.000.000,,
France,Francés,EUROPA,68.522.000,UTC+2,08/04/2025 02:03 CEST
South Africa,"Afrikaans, Inglés, Ndebele, Pedi, Sotho, Swati, Tsonga, Tswana, Venda, Xhosa, Zulu",AFRICA,61.020.000,UTC+2,08/04/2025 02:03 SAST
Italy,Italiano,EUROPA,58.919.000,UTC+2,08/04/2025 02:03 CEST
Canada,"Inglés, Francés",AMERICA,38.000.000,UTC-3.5 a -8,07/04/2025 20:33 NDT (Terranova)
Angola,Portugués,AFRICA,37.290.193,UTC+1,08/04/2025 01:03 WAT
Australia,Inglés,AUSTRALIA,25.430.000,UTC+8 a +10.5,08/04/2025 10:03 AEST (Costa Este)
Netherlands,Holandés,EUROPA,17.618.000,UTC+2,08/04/2025 02:03 CEST
Sweden,Sueco,EUROPA,10.549.000,UTC+2,08/04/2025 02:03 CEST
Greece,Griego,EUROPA,10.500.000,UTC+3,08/04/2025 03:03 EEST
Portugal,Portugués,EUROPA,10.223.000,UTC+1,08/04/2025 01:03 WEST
Norway,Noruego (Bokmål/Nynorsk),EUROPA,5.585.000,UTC+2,08/04/2025 02:03 CEST
Panama,Español,AMERICA,4.470.000,UTC-5,07/04/2025 19:03 EST
Seychelles,"Criollo Seychellois, Inglés, Francés",AFRICA,108.300,UTC+4,08/04/2025 04:03 SCT
Virgin Islands (British),Inglés,EUROPA,31.500,UTC-4,07/04/2025 20:03 EDT
